City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
albany,100.0,US,1622321512.0,72.0,42.6001,-73.9662,53.15,5.37
victor harbor,0.0,AU,1622321564.0,70.0,-35.5667,138.6167,49.8,8.16
cape town,40.0,ZA,1622321271.0,87.0,-33.9258,18.4232,58.08,0.07
takayama,70.0,JP,1622321392.0,90.0,36.1333,137.25,52.03,1.57
morant bay,11.0,JM,1622321565.0,73.0,17.8815,-76.4093,85.62,8.84
okhotsk,99.0,RU,1622321565.0,90.0,59.3833,143.3,36.28,9.26
mataura,100.0,NZ,1622321565.0,95.0,-46.1927,168.8643,49.48,4.32
rikitea,94.0,PF,1622321566.0,85.0,-23.1203,-134.9692,77.13,20.42
rio de janeiro,40.0,BR,1622321297.0,80.0,-22.9028,-43.2075,79.92,16.11
hilo,20.0,US,1622321566.0,74.0,19.7297,-155.09,81.81,10.36
ligatne,3.0,LV,1622321566.0,68.0,57.2343,25.0406,48.25,6.13
barrow,90.0,US,1622321567.0,80.0,71.2906,-156.7887,30.22,12.66
punta arenas,40.0,CL,1622321539.0,48.0,-53.15,-70.9167,37.51,18.07
cabedelo,7.0,BR,1622321531.0,77.0,-6.9811,-34.8339,81.27,13.18
rio grande,5.0,BR,1622321567.0,60.0,-32.035,-52.0986,60.91,20.2
yumen,1.0,CN,1622321568.0,39.0,40.2833,97.2,63.77,1.36
vaini,75.0,TO,1622321568.0,88.0,-21.2,-175.2,75.36,1.14
ushuaia,90.0,AR,1622321568.0,93.0,-54.8,-68.3,29.86,21.85
aklavik,90.0,CA,1622321292.0,69.0,68.2191,-135.0107,33.8,9.22
geraldton,40.0,AU,1622321440.0,77.0,-28.7667,114.6,63.01,16.82
narsaq,100.0,GL,1622321569.0,83.0,60.9167,-46.05,39.79,5.66
bethel,100.0,US,1622321569.0,86.0,41.3712,-73.414,49.57,4.0
axim,70.0,GH,1622321569.0,85.0,4.8699,-2.2405,80.17,7.65
ponta do sol,33.0,PT,1622321569.0,60.0,32.6667,-17.1,69.12,6.33
ivdel,86.0,RU,1622321570.0,99.0,60.6911,60.4206,54.93,2.53
isabela,100.0,PH,1622321570.0,81.0,6.7085,121.9711,79.75,4.25
kotma,1.0,IN,1622321570.0,52.0,23.2,81.9667,81.95,5.75
saint-georges,20.0,GD,1622321571.0,62.0,12.0564,-61.7485,85.68,16.11
saint-augustin,94.0,CA,1622321571.0,44.0,51.226,-58.6502,54.46,14.76
airai,53.0,TL,1622321571.0,90.0,-8.9266,125.4092,54.99,2.08
eydhafushi,97.0,MV,1622321571.0,73.0,5.1033,73.0708,83.39,19.35
hermanus,51.0,ZA,1622321572.0,80.0,-34.4187,19.2345,56.89,5.55
tarakan,65.0,ID,1622321572.0,80.0,3.3,117.6333,80.94,4.92
norman wells,90.0,CA,1622321413.0,81.0,65.282,-126.8329,37.44,10.36
tasiilaq,100.0,GL,1622321572.0,95.0,65.6145,-37.6368,35.91,13.73
busselton,96.0,AU,1622321573.0,89.0,-33.65,115.3333,54.09,14.63
comodoro rivadavia,0.0,AR,1622321573.0,43.0,-45.8667,-67.5,49.86,10.36
saint-pierre,0.0,RE,1622321360.0,67.0,-21.3393,55.4781,69.44,3.44
xudat,29.0,AZ,1622321480.0,68.0,41.631,48.681,66.45,3.8
derzhavinsk,51.0,KZ,1622321574.0,38.0,51.1,66.3167,65.89,7.47
wangaratta,0.0,AU,1622321574.0,100.0,-36.3667,146.3333,43.63,3.44
khatanga,99.0,RU,1622321574.0,78.0,71.9667,102.5,37.85,9.82
bredasdorp,14.0,ZA,1622321574.0,88.0,-34.5322,20.0403,54.72,3.74
cabo san lucas,20.0,MX,1622321408.0,48.0,22.8909,-109.9124,101.52,8.05
kodiak,90.0,US,1622321575.0,93.0,57.79,-152.4072,45.91,9.22
freeport,90.0,US,1622321575.0,88.0,40.6576,-73.5832,51.26,8.01
srandakan,100.0,ID,1622321575.0,89.0,-7.9386,110.2506,60.73,3.94
ewa beach,1.0,US,1622321362.0,57.0,21.3156,-158.0072,84.09,11.99
port elizabeth,90.0,ZA,1622321480.0,94.0,-33.918,25.5701,56.1,5.75
acheng,42.0,CN,1622321576.0,68.0,45.5454,126.977,48.13,6.93
bairiki,75.0,KI,1622321576.0,79.0,1.3292,172.9752,84.2,13.8
